Name,Team,Wins,Losses,Possessions,FGP,EFGP,2PP,3PP,FreeThrowsMade,FreeThrowsAttempted,FTP,OffensiveRebounds,DefensiveRebounds,Rebounds,ORP,DRP,TRP,Assists,Steals,BlockedShots,Turnovers,PF,Points,TrueShootingAttempts,TSP,AP,SP,BP,TOP,URP
Golden State Warriors,GS,0.0,1.0,71.0,32.3,37.7,38.8,24.2,12.4,24.0,40.0,4.8,27.1,33.3,,,,15.5,4.8,1.2,12.4,15.5,66.6,66.4,39.0,,,,,
Golden State Warriors,GS,1.0,0.0,69.9,38.3,44.6,45.2,29.3,14.0,16.3,66.4,7.2,23.2,32.6,,,,21.7,6.6,4.2,5.4,17.0,89.9,73.0,47.8,,,,,
Golden State Warriors,GS,1.0,0.0,74.6,37.8,47.3,38.8,36.8,10.8,14.0,60.3,4.8,24.0,30.2,,,,23.2,5.4,5.4,14.0,14.7,87.6,69.7,48.7,,,,,
Golden State Warriors,GS,1.0,0.0,76.4,40.5,47.6,47.1,31.4,3.6,5.4,51.7,6.0,24.8,32.6,,,,21.7,7.2,5.4,12.4,14.0,87.6,71.3,47.6,,,,,
Golden State Warriors,GS,0.0,1.0,74.5,36.3,41.2,46.9,23.7,11.6,16.3,55.3,6.6,27.9,36.4,,,,20.2,3.0,3.0,15.5,16.3,77.5,68.4,44.0,,,,,
Golden State Warriors,GS,1.0,0.0,75.0,33.6,40.5,40.5,27.0,13.2,16.3,62.8,7.2,25.6,34.9,,,,20.9,5.4,4.8,7.2,19.4,86.0,76.9,43.5,,,,,
Golden State Warriors,GS,1.0,0.0,72.2,35.3,42.2,41.9,29.1,15.5,20.9,57.4,4.2,32.6,38.0,,,,21.7,1.8,3.6,7.2,17.0,81.4,68.9,45.7,,,,,
Golden State Warriors,GS,1.0,0.0,74.1,38.8,42.5,48.8,20.7,6.0,10.8,55.3,5.4,29.4,36.4,,,,16.3,3.6,3.6,13.2,19.4,79.0,69.9,43.9,,,,,
Golden State Warriors,GS,0.0,1.0,71.9,31.0,36.5,46.1,19.4,10.1,14.0,56.0,6.0,24.8,32.6,,,,16.3,3.0,3.0,10.1,17.0,72.1,72.0,38.8,,,,,
Golden State Warriors,GS,1.0,0.0,76.6,30.8,37.4,39.8,23.6,18.6,24.0,60.0,6.0,28.7,36.4,,,,17.0,5.4,1.8,11.6,14.7,80.6,74.9,41.8,,,,,
